Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Buster's Garden of Grief""",15,8a,24-May-12,"Fritz injures his ankle while staying at the Shady Pines Retirement Home and asks Buster to takes over. He finds out that it is a big responsibility, but he can handle it. All is going well until he finds out that he and his mother are going camping.",https://static.wikia.nocookie.net/arthur/images/d/df/BGOG99.png/revision/latest?cb=20111111143031,https://arthur.fandom.com/wiki/Buster%27s_Garden_of_Grief
"""Through the Looking Glasses""",15,8b,24-May-12,"Arthur can't find his glasses, so he gets a new pair. After thinking his classmates will laugh at him, he actually receives praise about them, but becomes overconfident with his new look.",https://static.wikia.nocookie.net/arthur/images/a/a8/Through_the_looking_glasses_58.jpg/revision/latest?cb=20111116050825,https://arthur.fandom.com/wiki/Through_the_Looking_Glasses
"""The Butler Did... What?""",15,9a,25-May-12,"After Bailey goes missing, Muffy realizes that she doesn't know anything about him when she searches for him.",https://static.wikia.nocookie.net/arthur/images/2/20/The_Butler_Did..._What%3F.png/revision/latest?cb=20111012222339,https://arthur.fandom.com/wiki/The_Butler_Did..._What%3F
"""The Trouble with Trophies""",15,9b,25-May-12,"After Fern tells Muffy and George she has no trophies, they come up with a plan to try to get her to win one.",https://static.wikia.nocookie.net/arthur/images/2/2f/Trouble_with_Trophies.jpg/revision/latest?cb=20140514203235,https://arthur.fandom.com/wiki/The_Trouble_with_Trophies
"""Grandpa Dave's Memory Album""",15,10a,15-Jun-12,"Grandpa Dave is moving closer to the family and the kids are thrilled. But something isn't quite right, he's forgetting all sorts of things. Joan Rivers, reprising her role as Francine's grandmother, Bubby, is on hand to help the kids understand that he loves them just as much as he always has, even if he has trouble with his memory.",https://static.wikia.nocookie.net/arthur/images/5/5d/Grandpa_Dave%27s_Memory_Album.jpg/revision/latest?cb=20111108160208,https://arthur.fandom.com/wiki/Grandpa_Dave%27s_Memory_Album
"""Buster's Carpool Catastrophe""",15,10b,15-Jun-12,"Muffy, Arthur, and Buster are carpooling to their cooking class. Buster wants this to be the best carpool ever, but his rolling party on wheels turns into a disaster. Can the kids stop fighting long enough to see the sights right in front of them?",https://static.wikia.nocookie.net/arthur/images/6/60/Buster%27s_Carpool_Catastrophe.jpg/revision/latest?cb=20111108153724,https://arthur.fandom.com/wiki/Buster%27s_Carpool_Catastrophe
"""Based on a True Story""",16,1,15-Oct-12,"There's a new kid in town: Ladonna Compson, the Louisiana native with the gift of gab. She charms Arthur and his friends with her amazing ""true"" stories. But are her stories really fact...or fiction?",https://static.wikia.nocookie.net/arthur/images/0/06/Based_On_A_True_Story_14.png/revision/latest?cb=20190510214023,https://arthur.fandom.com/wiki/Based_on_a_True_Story
"""Flippity Francine""",16,2a,16-Oct-12,"When Muffy posts a goofy video of Francine on the Muffington Post, Francine worries she will become the laughing stock of the entire school. Can Francine regain her dignity? Or will she have to swap her cleats for clown shoes?",https://static.wikia.nocookie.net/arthur/images/f/f9/Flippity_Francine.jpg/revision/latest?cb=20200320195421,https://arthur.fandom.com/wiki/Flippity_Francine
"""Muffy Takes the Wheel""",16,2b,16-Oct-12,"It's the 1st Annual Lakewood Derby and Muffy is revved up! But when she enlists her dad to help her make the winning car, he completely takes over. Can she hit the brakes on this runaway project? Or will she be left in the dust?",https://static.wikia.nocookie.net/arthur/images/1/19/MTTW.JPG/revision/latest?cb=20121023033006,https://arthur.fandom.com/wiki/Muffy_Takes_the_Wheel
"""All About D.W.""",16,3a,17-Oct-12,"When Emily gets the starring role in the preschool play, D.W. is beside herself with jealousy. She should be Little Red Riding Hood, not Tree #2! Undeterred, she appoints herself Emily's understudy (just in case!). But when the big moment arrives, can she handle the spotlight?",https://static.wikia.nocookie.net/arthur/images/7/7e/AAD.JPG/revision/latest?cb=20121023033006,https://arthur.fandom.com/wiki/All_About_D.W.
