Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Arthur's Underwear""",2,5a,24-Oct-97,"Binky rips his pants in class, revealing his underwear. Arthur can't stop laughing every time he thinks of it, but he's getting nightmares in which he doesn't have any pants. He tells Buster about this, who tells everyone else, which embarrasses him. Inevitably, he does rip his pants and has to deal with it.",https://static.wikia.nocookie.net/arthur/images/3/32/Arthur%27s_underwear.png/revision/latest?cb=20200904181405,https://arthur.fandom.com/wiki/Arthur%27s_Underwear_(episode)
"""Francine Frensky, Olympic Rider""",2,5b,24-Oct-97,"Francine goes for horseback riding lessons and her sister, Catherine, has to bring her there. Catherine is better than Francine! Feeling over shadowed by Catherine, Francine considers quitting but returns and remembers why she wanted to take horseback riding in the first place.",https://static.wikia.nocookie.net/arthur/images/2/2c/Francine_Frensky_Olympic_Rider.png/revision/latest?cb=20100629225808,"https://arthur.fandom.com/wiki/Francine_Frensky,_Olympic_Rider"
"""Buster Baxter, Cat Saver""",2,6a,27-Oct-97,"Buster gets a cat down from a tree with his ice cream and his mother publishes a story on it. When people start calling him a hero, this goes to his head and he starts acting important and retells the story with embellished details. Arthur, Francine, and the Brain make a fool out of him to humble him, but he ends up saving Arthur and Francine from a runaway piano.",https://static.wikia.nocookie.net/arthur/images/3/30/2x06a.png/revision/latest?cb=20100701150307,"https://arthur.fandom.com/wiki/Buster_Baxter,_Cat_Saver"
"""Play it Again, D.W.""",2,6b,27-Oct-97,"D.W. is still playing her ""Crazy Bus"" CD (since ""Buster Baxter, Cat Saver"") and Arthur is already annoyed by it. She surprises him with four tickets to ""Crazy Bus Live"". He is embarrassed to be there but finds Buster enjoying the show. When the CD goes missing, she accuses him of taking it, but their parents have done so by mistake.",https://static.wikia.nocookie.net/arthur/images/8/80/2x06b.png/revision/latest?cb=20100629225631,"https://arthur.fandom.com/wiki/Play_it_Again,_D.W."
"""Arthur's TV-Free Week""",2,7a,28-Oct-97,Arthur and his friends are participating in TV-Free Week. His family also goes without TV in support of the idea. Everyone tries to resist the temptation of TV while they go through their week.,https://static.wikia.nocookie.net/arthur/images/8/8f/2x07a.png/revision/latest?cb=20100715171049,https://arthur.fandom.com/wiki/Arthur%27s_TV-Free_Week
"""Night Fright""",2,7b,28-Oct-97,"Binky has a night light. He tries to go without it when Arthur has to spend the night because his parents are stuck out of town. When Arthur finds out about it, he believes Arthur may use this against him, although Arthur isn't particularly interested. Even so, he eventually musters the courage to tell everyone before Arthur does.",https://static.wikia.nocookie.net/arthur/images/e/ef/2x07b.png/revision/latest?cb=20100715171115,https://arthur.fandom.com/wiki/Night_Fright
"""Arthur vs. the Piano""",2,8a,29-Oct-97,"The school band has a recital on Friday. Everyone except Arthur is worried and practicing. He is confident that he knows everything well enough until a nightmare makes him worry he may miss a note. In a subplot, D.W. has hiccups that won't go away.",https://static.wikia.nocookie.net/arthur/images/7/7d/2x08a.png/revision/latest?cb=20100715183803,https://arthur.fandom.com/wiki/Arthur_vs._the_Piano
"""The Big Blow-Up""",2,8b,29-Oct-97,Francine and the Brain have an argument over soccer practice that carries into class and through the next match. They may not make it to the playoffs if the argument continues. Arthur uses D.W.'s idea of writing an early letter to Santa to resolve things between them with fake apology letters.,https://static.wikia.nocookie.net/arthur/images/8/84/2x08b.png/revision/latest?cb=20150108021258,https://arthur.fandom.com/wiki/The_Big_Blow-Up
"""Lost!""",2,9a,30-Oct-97,"After school, Arthur is supposed to take the bus to the public pool for his swimming lesson, but he falls asleep and misses his stop. Then he ends up at the edge of town but luckily, the bus driver helps him find his way home.",https://static.wikia.nocookie.net/arthur/images/9/9f/Lost%21_001_Arthur_Crying.png/revision/latest?cb=20150118064856,https://arthur.fandom.com/wiki/Lost!
"""The Short, Quick Summer""",2,9b,30-Oct-97,"Arthur has a to-do list for the summer, but he can't find it and summer's nearly over. He finds out everyone else had a great summer. He finds his list and D.W. accidentally helps him realize that he did all the things on it and had a great time too.",https://static.wikia.nocookie.net/arthur/images/2/28/2x09b.png/revision/latest?cb=20150118064025,"https://arthur.fandom.com/wiki/The_Short,_Quick_Summer"
"""D.W. Goes to Washington""",2,10a,31-Oct-97,"The Reads go to Washington, D.C. for a holiday vacation. They tour the popular landmarks and at the White House, D.W. separates from the tour group and meets the President.",https://static.wikia.nocookie.net/arthur/images/a/ab/D.W._goes_to_washington.jpg/revision/latest?cb=20111211220628,https://arthur.fandom.com/wiki/D.W._Goes_to_Washington
"""Arthur's Mystery Envelope""",2,10b,31-Oct-97,"Mr. Haney gives Arthur an envelope to give to his mom. He is worried about its contents, thinking that it's about him, so he comes up with a way of giving it to her without her opening it. It turns out to contain Mr. Haney's tax documents.",https://static.wikia.nocookie.net/arthur/images/d/d0/Arthur%27s_Mysetery_Envelope.jpg/revision/latest?cb=20111111215223,https://arthur.fandom.com/wiki/Arthur%27s_Mystery_Envelope_(episode)
"""D.W.'s Deer Friend""",2,11a,6-Apr-98,"When the Reads goes camping, D.W. befriends a deer. She names him Walter and wants to take him home.",https://static.wikia.nocookie.net/arthur/images/2/28/D.W.%27s_Deer_Friend.png/revision/latest?cb=20110908171942,https://arthur.fandom.com/wiki/D.W.%27s_Deer_Friend
"""Buster Hits the Books""",2,11b,6-Apr-98,"Buster needs to write a book report, but he has never finished a book. His friends try to find one he can finish.",https://static.wikia.nocookie.net/arthur/images/f/fa/Buster_Hits_the_Books.jpg/revision/latest?cb=20110221203629,https://arthur.fandom.com/wiki/Buster_Hits_the_Books
"""Arthur's Faraway Friend""",2,12a,7-Apr-98,"Arthur and Buster start writing their own adventure book based on Buster's book choice from ""Buster Hits the Books"", but he is leaving for a couple of months.",https://static.wikia.nocookie.net/arthur/images/8/87/Arthur%27s_Faraway_Friend.JPG/revision/latest?cb=20110907000329,https://arthur.fandom.com/wiki/Arthur%27s_Faraway_Friend
"""Arthur and the Square Dance""",2,12b,7-Apr-98,"Arthur's and Francine's friends think that they are in love, leading both of them to think the other is in love. They avoid each other afraid of getting ""cooties"" and finally solve the problem.",https://static.wikia.nocookie.net/arthur/images/b/b3/Arthur_and_the_Square_Dance.png/revision/latest?cb=20110908170752,https://arthur.fandom.com/wiki/Arthur_and_the_Square_Dance
"""Water and the Brain""",2,13a,8-Apr-98,Muffy is throwing a party at Waterworld and everyone is excited except the Brain. Arthur and Binky discover that he is afraid of water and try to help him get over this fear so he can go to the party.,https://static.wikia.nocookie.net/arthur/images/c/c5/Water_and_the_Brain.png/revision/latest?cb=20110908165945,https://arthur.fandom.com/wiki/Water_and_the_Brain
"""Arthur the Unfunny""",2,13b,8-Apr-98,"In a letter to Buster, Arthur tells him about how he was determined to be too hopelessly unfunny to be a clown and how he discovered he can be funny playing the piano.",https://static.wikia.nocookie.net/arthur/images/b/ba/Arthur_the_Unfunny.png/revision/latest?cb=20110908170930,https://arthur.fandom.com/wiki/Arthur_the_Unfunny
"""Sue Ellen's Lost Diary""",2,14a,9-Apr-98,"Sue Ellen loses her diary in the library. Muffy, Francine, Binky, and Arthur find it, wondering what's inside and whether to open it or return it unread.",https://static.wikia.nocookie.net/arthur/images/9/96/Sue_Ellen_Lost_Diary.png/revision/latest?cb=20110908173059,https://arthur.fandom.com/wiki/Sue_Ellen%27s_Lost_Diary
"""Arthur's Knee""",2,14b,9-Apr-98,Arthur accidentally hurts his knee at the dump while retrieving a wheel to fix his school project. He hides the injury and makes D.W. promise not to tell anyone because he was told not to go there.,https://static.wikia.nocookie.net/arthur/images/2/24/Arthur%27s_Knee_main_image.png/revision/latest?cb=20180320023907,https://arthur.fandom.com/wiki/Arthur%27s_Knee
"""Grandma Thora Appreciation Day""",2,15a,10-Apr-98,Arthur and D.W. are planning a surprise party to show their appreciation for Grandma Thora. She unexpectedly shows up early when her car breaks down and they must finish their last minute preparations without her noticing.,https://static.wikia.nocookie.net/arthur/images/f/f9/Grandma_Thora_Appreciation_Day.jpg/revision/latest?cb=20111114175525,https://arthur.fandom.com/wiki/Grandma_Thora_Appreciation_Day
"""Fern's Slumber Party""",2,15b,10-Apr-98,"Fern's mother wants her to invite some girls over for a slumber party to which she reluctantly agrees. Everyone thinks she is boring and bring their own entertainment, but she later manages to impress them with her detective skills.",https://static.wikia.nocookie.net/arthur/images/2/27/Fern%27s_Slumber_Party.jpg/revision/latest?cb=20111118023002,https://arthur.fandom.com/wiki/Fern%27s_Slumber_Party
"""Love Notes for Muffy""",2,16a,13-Apr-98,The Brain and Francine use fake love notes to get revenge against Muffy after she puts them down at the science fair. Their joke has unintended consequences and they must fix it before things get worse.,https://static.wikia.nocookie.net/arthur/images/c/ce/Love_Notes_for_Muffy.JPG/revision/latest?cb=20160508041213,https://arthur.fandom.com/wiki/Love_Notes_for_Muffy
"""D.W. Blows the Whistle""",2,16b,13-Apr-98,"D.W.'s overzealous safety patrolling and whistle blowing is annoying everyone. Arthur and his friends worry she may ruin the upcoming soapbox derby. During it, she finds herself in an unsafe situation when she is stuck at the top of a large pine tree after she climbs it to get a better view.",https://static.wikia.nocookie.net/arthur/images/f/fa/D.W._blows_the_whistle.jpg/revision/latest?cb=20111211222055,https://arthur.fandom.com/wiki/D.W._Blows_the_Whistle
"""Francine Redecorates""",2,17a,14-Apr-98,"Francine and her older sister, Catherine, share a room and can't stand each other's tastes in decor, so Catherine moves out. Francine finds her room to be empty without her sister in it.",https://static.wikia.nocookie.net/arthur/images/5/53/Francine_Redecorates.png/revision/latest?cb=20190903002952,https://arthur.fandom.com/wiki/Francine_Redecorates
"""Arthur the Loser""",2,17b,14-Apr-98,"Arthur keeps losing at the new ""No Guessing!"" board game and other things as well, so he starts cheating to win. His friends are annoyed by his ""sore winner"" attitude and use Binky to make him lose, because Binky has no qualms about cheating.",https://static.wikia.nocookie.net/arthur/images/d/d4/ARTHUR_LOSES.jpg/revision/latest?cb=20110221204153,https://arthur.fandom.com/wiki/Arthur_the_Loser
"""Arthur vs. the Very Mean Crossing Guard""",2,18a,15-Apr-98,Arthur and the Brain are afraid of the new crossing guard who charges them $10 per trip and will send his goons after them if they don't pay. They try to figure out ways to circumvent crossing the intersection before they realize his true intent.,https://static.wikia.nocookie.net/arthur/images/4/46/Arthur_vs._the_Very_Mean_Crossing_Guard.jpg/revision/latest?cb=20130619043831,https://arthur.fandom.com/wiki/Arthur_vs._the_Very_Mean_Crossing_Guard
"""D.W.'s Very Bad Mood""",2,18b,15-Apr-98,Arthur and Francine try to find out why D.W. has been in a bad mood for days.,https://static.wikia.nocookie.net/arthur/images/9/92/D.W._Very_Bad_Mood.png/revision/latest?cb=20110908154201,https://arthur.fandom.com/wiki/D.W.%27s_Very_Bad_Mood
"""D.W.'s Name Game""",2,19a,16-Apr-98,"Arthur and D.W. use a thesaurus to aid in calling each other names until he calls her ""Dora Winifred"" and she is upset. She later has a strange dream with him, Walter (from ""D.W.'s Deer Friend""), and the Thesaurus.",https://static.wikia.nocookie.net/arthur/images/0/0c/D.W.%27s_Name_Game.jpg/revision/latest?cb=20111211223305,https://arthur.fandom.com/wiki/D.W.%27s_Name_Game
